scenario_id,p,config,seed,spawned,passed,pass_rate,avg_travel_time,avg_gate_wait,t_first_pass,t_last_pass,active_period,throughput_active,per_gate_active,W1_avg_density,W1_peak_density,W2_avg_density,W2_peak_density
p10_cfg1_s42,0.1,1,42,794,794,1.0,53.522916666666674,23.12588161209068,33.4,583.35,"time
90.0     4
90.5     5
91.0     4
91.5     4
92.0     6
        ..
597.5    2
598.0    2
598.5    2
599.0    2
599.5    1
Length: 800, dtype: int64",1.4437676152377488,0.20625251646253553,0.4249498825820494,1.0316742081447965,0.259,0.55
p10_cfg1_s43,0.1,1,43,823,823,1.0,53.97924297924299,21.553219927095995,35.0,577.4,"time
90.0     12
90.5     11
91.0     11
91.5     10
92.0     10
         ..
594.5     2
595.0     2
595.5     1
596.0     1
596.5     1
Length: 791, dtype: int64",1.517330383480826,0.21676148335440373,0.43528720942281784,1.1040723981900453,0.34506953223767384,0.7
p10_cfg1_s44,0.1,1,44,807,805,0.9975216852540273,51.96926605504588,22.663664596273293,34.300000000000004,598.5500000000001,"time
90.0     7
90.5     6
91.0     5
91.5     6
92.0     6
        ..
597.5    8
598.0    6
598.5    6
599.0    8
599.5    7
Length: 770, dtype: int64",1.4266725742135575,0.20381036774479394,0.44597239419581974,1.1493212669683257,0.3011038961038961,0.75
p10_cfg1_s45,0.1,1,45,857,856,0.9988331388564761,53.26345454545455,22.62348130841121,34.5,595.95,"time
90.0     5
90.5     6
91.0     6
91.5     6
92.0     7
        ..
597.5    5
598.0    5
598.5    4
599.0    5
599.5    4
Length: 782, dtype: int64",1.5246237420963575,0.21780339172805108,0.46507818317200295,1.1040723981900453,0.33976982097186703,0.85
p10_cfg1_s46,0.1,1,46,811,811,1.0,52.7125806451613,23.30622688039457,33.0,597.75,"time
90.0     8
90.5     7
91.0     7
91.5     8
92.0     9
        ..
597.5    4
598.0    4
598.5    3
599.0    4
599.5    5
Length: 757, dtype: int64",1.4360336432049579,0.20514766331499398,0.44973953878010936,1.0769230769230769,0.2715984147952444,0.55
p10_cfg2_s42,0.1,2,42,794,794,1.0,58.66097402597404,31.67632241813602,33.4,599.4,"time
90.0     9
90.5     9
91.0     8
91.5     8
92.0     7
        ..
597.5    5
598.0    4
598.5    4
599.0    4
599.5    4
Length: 900, dtype: int64",1.4028268551236749,0.20040383644623927,0.4833194411367786,1.1402714932126696,0.23566666666666664,0.5
p10_cfg2_s43,0.1,2,43,823,823,1.0,59.19596469104667,32.50030376670717,34.95,598.3000000000001,"time
90.0     6
90.5     7
91.0     5
91.5     5
92.0     5
        ..
597.5    6
598.0    6
598.5    7
599.0    6
599.5    6
Length: 914, dtype: int64",1.4609035235643915,0.20870050336634163,0.5111133743628542,1.1945701357466063,0.23938730853391682,0.55
p10_cfg2_s44,0.1,2,44,807,776,0.9615861214374225,55.63039348710991,29.906894329896907,34.300000000000004,599.45,"time
90.0     4
90.5     5
91.0     5
91.5     5
92.0     5
        ..
597.5    7
598.0    7
598.5    6
599.0    5
599.5    5
Length: 841, dtype: int64",1.3730867911174023,0.1961552558739146,0.5281167286667321,1.248868778280543,0.2382282996432818,0.45
p10_cfg2_s45,0.1,2,45,857,833,0.9719953325554259,60.1353199498118,34.05294117647059,34.9,599.75,"time
90.0     9
90.5     9
91.0     7
91.5     8
92.0     9
        ..
597.5    4
598.0    5
598.5    6
599.0    6
599.5    5
Length: 904, dtype: int64",1.4747278038417277,0.21067540054881825,0.5716794180358711,1.2850678733031675,0.24336283185840707,0.5
p10_cfg2_s46,0.1,2,46,811,790,0.9741060419235512,56.13037135278515,30.03354430379747,33.0,599.6,"time
90.0     8
90.5     6
91.0     7
91.5     6
92.0     7
        ..
597.5    5
598.0    5
598.5    5
599.0    5
599.5    5
Length: 840, dtype: int64",1.3942816801976703,0.19918309717109575,0.5076755875560386,1.2036199095022624,0.24017857142857144,0.5
p10_cfg3_s42,0.1,3,42,794,780,0.982367758186398,70.32446808510639,45.45980769230769,34.35,599.3000000000001,"time
90.0     7
90.5     7
91.0     7
91.5     8
92.0     8
        ..
597.5    3
598.0    3
598.5    3
599.0    5
599.5    5
Length: 1016, dtype: int64",1.3806531551464731,0.19723616502092473,0.6058291189779078,1.1040723981900453,0.1732775590551181,0.4
p10_cfg3_s43,0.1,3,43,823,786,0.9550425273390036,73.46174540682415,48.86348600508906,34.45,598.1,"time
90.0     6
90.5     7
91.0     6
91.5     5
92.0     6
        ..
597.5    2
598.0    2
598.5    2
599.0    2
599.5    1
Length: 1017, dtype: int64",1.394482391555043,0.199211770222149,0.6810220920947564,1.0950226244343892,0.17546705998033432,0.4
p10_cfg3_s44,0.1,3,44,807,752,0.9318463444857497,62.60502754820938,37.37932180851064,35.300000000000004,599.95,"time
90.0     4
90.5     4
91.0     4
91.5     4
92.0     4
        ..
597.5    2
598.0    2
598.5    1
599.0    1
599.5    2
Length: 957, dtype: int64",1.331798459222527,0.19025692274607528,0.5804611779496115,1.1221719457013575,0.17152560083594565,0.4
p10_cfg3_s45,0.1,3,45,857,801,0.9346557759626605,66.98139534883721,42.0292759051186,34.050000000000004,598.5500000000001,"time
90.0     4
90.5     4
91.0     5
91.5     5
92.0     5
        ..
597.5    2
598.0    3
598.5    3
599.0    2
599.5    4
Length: 1010, dtype: int64",1.4189548272807793,0.20270783246868276,0.6357022446987846,1.1221719457013575,0.17787128712871286,0.4
p10_cfg3_s46,0.1,3,46,811,754,0.9297163995067818,68.95700549450551,44.63388594164457,33.7,599.85,"time
90.0     4
90.5     3
91.0     4
91.5     3
92.0     2
        ..
597.0    2
597.5    2
598.0    1
599.0    2
599.5    2
Length: 962, dtype: int64",1.3318025258323767,0.19025750369033953,0.639504994974921,1.0950226244343892,0.1721933471933472,0.45
p10_cfg4_s42,0.1,4,42,794,626,0.7884130982367759,123.40008291873964,104.6420926517572,34.35,599.7,"time
90.0     5
90.5     6
91.0     4
91.5     5
92.0     3
        ..
597.5    3
598.0    3
598.5    3
599.0    3
599.5    2
Length: 1006, dtype: int64",1.107278676925798,0.15818266813225687,0.76308224647325,0.8506787330316742,0.17127236580516897,0.4
p10_cfg4_s43,0.1,4,43,823,627,0.7618469015795869,124.83793103448276,104.73508771929824,34.45,599.2,"time
90.0     3
90.5     4
91.0     5
91.5     5
92.0     5
        ..
597.5    2
598.0    3
598.5    3
599.0    3
599.5    4
Length: 1009, dtype: int64",1.1102257636122177,0.1586036805160311,0.7639073729039126,0.8416289592760181,0.1742814667988107,0.45
p10_cfg4_s44,0.1,4,44,807,603,0.7472118959107806,116.05017123287672,96.1514096185738,34.550000000000004,599.7,"time
90.0     3
90.5     4
91.0     5
91.5     5
92.0     5
        ..
597.5    3
598.0    2
598.5    2
599.0    2
599.5    2
Length: 1007, dtype: int64",1.0669733699017958,0.15242476712882796,0.7472806317096975,0.8597285067873304,0.1644488579940417,0.4
p10_cfg4_s45,0.1,4,45,857,612,0.7141190198366394,124.25950764006792,105.70710784313724,34.4,599.4,"time
90.0     6
90.5     7
91.0     7
91.5     6
92.0     6
        ..
597.5    3
598.0    3
598.5    4
599.0    4
599.5    5
Length: 1008, dtype: int64",1.0831858407079646,0.1547408343868521,0.7607576967438558,0.8506787330316742,0.1703373015873016,0.4
p10_cfg4_s46,0.1,4,46,811,593,0.7311960542540074,140.68432055749133,121.26349072512647,33.7,598.8000000000001,"time
90.0     2
90.5     4
91.0     4
91.5     4
92.0     5
        ..
597.5    3
598.0    3
598.5    4
599.0    5
599.5    4
Length: 993, dtype: int64",1.049371792603079,0.14991025608615413,0.7738532517079231,0.8868778280542986,0.15976837865055388,0.35
p10_cfg5_s42,0.1,5,42,794,449,0.5654911838790933,172.2701612903226,153.17048997772827,34.550000000000004,599.0,"time
90.0     2
90.5     3
91.0     3
91.5     2
92.0     2
        ..
597.5    2
598.0    2
598.5    2
599.0    3
599.5    2
Length: 954, dtype: int64",0.7954646115687837,0.11363780165268338,0.5228462425694259,0.6063348416289592,0.09989517819706499,0.3
